"Date","Time","TimeZone","Name","Type","Status","Currency","Gross","Fee","Net","From Email Address","To Email Address","Transaction ID","Shipping Address","Address Status","Item Title","Item ID","Shipping and Handling Amount","Insurance Amount","Sales Tax","Option 1 Name","Option 1 Value","Option 2 Name","Option 2 Value","Reference Txn ID","Invoice Number","Custom Number","Quantity","Receipt ID","Balance","Address Line 1","Address Line 2/District/Neighborhood","Town/City","State/Province/Region/County/Territory/Prefecture/Republic","Zip/Postal Code","Country","Contact Phone Number","Subject","Note","Country Code","Balance Impact"
"12/15/2023","10:26:02","PST","John Doe","Express Checkout Payment","Completed","USD","1.00","-0.52","0.48","sb-1j09x28410285@personal.example.com","sb-jvbvr28387932@business.example.com","44X57296GM262730C","John, Doe, 1 Main St, San Jose, CA, 95131, United States","Confirmed","2023-12-15T12:27:50","","0.00","","0.00","","","","","","","SO-1702664750387-7895","1","","6,353.10","1 Main St","","San Jose","CA","95131","United States","4089570040","2023-12-15T12:27:50","","US","Credit"
"12/15/2023","10:47:25","PST","John Doe","Express Checkout Payment","Completed","USD","1.00","-0.52","0.48","sb-1j09x28410285@personal.example.com","sb-jvbvr28387932@business.example.com","7DM282440A485253U","John, Doe, 1 Main St, San Jose, CA, 95131, United States","Confirmed","2023-12-15T12:49:16","","0.00","","0.00","","","","","","","SO-1702666036181-3246","1","","6,353.58","1 Main St","","San Jose","CA","95131","United States","4089570040","2023-12-15T12:49:16","","US","Credit"
"12/15/2023","10:48:57","PST","John Doe","Express Checkout Payment","Completed","USD","1.00","-0.52","0.48","sb-1j09x28410285@personal.example.com","sb-jvbvr28387932@business.example.com","11W54082JY546920G","John, Doe, 1 Main St, San Jose, CA, 95131, United States","Confirmed","2023-12-15T12:50:45","","0.00","","0.00","","","","","","","SO-1702666125252-52","1","","6,354.06","1 Main St","","San Jose","CA","95131","United States","4089570040","2023-12-15T12:50:45","","US","Credit"
"12/17/2023","08:08:57","PST","John Doe","Express Checkout Payment","Completed","USD","1.00","-0.52","0.48","sb-n43ad4728011176@personal.example.com","sb-jvbvr28387932@business.example.com","42K64562J8431014W","John, Doe, 1 Main St, San Jose, CA, 95131, United States","Confirmed","2023-12-17T10:10:48","","0.00","","0.00","","","","","","","SO-1702829328297-4949","1","","6,354.54","1 Main St","","San Jose","CA","95131","United States","4085762084","2023-12-17T10:10:48","","US","Credit"
"12/15/2023","09:51:41","PST","John Doe","Express Checkout Payment","Completed","USD","1.00","-0.52","0.48","sb-1j09x28410285@personal.example.com","sb-jvbvr28387932@business.example.com","83J61741C5146005K","John, Doe, 1 Main St, San Jose, CA, 95131, United States","Confirmed","2023-12-15T11:53:25","","0.00","","0.00","","","","","","","SO-1702662684834-1279","1","","6,355.02","1 Main St","","San Jose","CA","95131","United States","4089570040","2023-12-15T11:53:25","","US","Credit"
"12/16/2023","18:37:22","PST","John Doe","Express Checkout Payment","Completed","USD","1.00","-0.52","0.48","sb-1j09x28410285@personal.example.com","sb-jvbvr28387932@business.example.com","68670103MC529281G","John, Doe, 1 Main St, San Jose, CA, 95131, United States","Confirmed","2023-12-16T20:38:05","","0.00","","0.00","","","","","","","SO-1702780565477-4704","1","","6,355.50","1 Main St","","San Jose","CA","95131","United States","4089570040","2023-12-16T20:38:05","","US","Credit"
"12/17/2023","17:53:45","PST","John Doe","Express Checkout Payment","Completed","USD","1.00","-0.52","0.48","sb-1j09x28410285@personal.example.com","sb-jvbvr28387932@business.example.com","0WT27086D88542524","John, Doe, 1 Main St, San Jose, CA, 95131, United States","Confirmed","2023-12-17T19:55:30","","0.00","","0.00","","","","","","","SO-1702864409859-819","1","","6,355.98","1 Main St","","San Jose","CA","95131","United States","4089570040","2023-12-17T19:55:30","","US","Credit"
"12/18/2023","07:27:11","PST","John Doe","Express Checkout Payment","Completed","USD","1.00","-0.52","0.48","sb-1j09x28410285@personal.example.com","sb-jvbvr28387932@business.example.com","9HN60489GH222100L","John, Doe, 1 Main St, San Jose, CA, 95131, United States","Confirmed","2023-12-18T09:28:42","","0.00","","0.00","","","","","","","SO-1702913202264-4288","1","","6,356.46","1 Main St","","San Jose","CA","95131","United States","4089570040","2023-12-18T09:28:42","","US","Credit"
"12/18/2023","08:57:08","PST","John Doe","Express Checkout Payment","Completed","USD","1.00","-0.52","0.48","sb-1j09x28410285@personal.example.com","sb-jvbvr28387932@business.example.com","5B60066511697261L","John, Doe, 1 Main St, San Jose, CA, 95131, United States","Confirmed","2023-12-18T10:58:55","","0.00","","0.00","","","","","","","SO-1702918615271-9775","1","","6,356.94","1 Main St","","San Jose","CA","95131","United States","4089570040","2023-12-18T10:58:55","","US","Credit"
"12/18/2023","09:02:26","PST","John Doe","Express Checkout Payment","Completed","USD","1.00","-0.52","0.48","sb-1j09x28410285@personal.example.com","sb-jvbvr28387932@business.example.com","5HN9364663122074F","John, Doe, 1 Main St, San Jose, CA, 95131, United States","Confirmed","2023-12-18T11:04:18","","0.00","","0.00","","","","","","","SO-1702918937542-6840","1","","6,357.42","1 Main St","","San Jose","CA","95131","United States","4089570040","2023-12-18T11:04:18","","US","Credit"
