"Date","Time","TimeZone","Name","Type","Status","Currency","Gross","Fee","Net","From Email Address","To Email Address","Transaction ID","Shipping Address","Address Status","Item Title","Item ID","Shipping and Handling Amount","Insurance Amount","Sales Tax","Option 1 Name","Option 1 Value","Option 2 Name","Option 2 Value","Reference Txn ID","Invoice Number","Custom Number","Quantity","Receipt ID","Balance","Address Line 1","Address Line 2/District/Neighborhood","Town/City","State/Province/Region/County/Territory/Prefecture/Republic","Zip/Postal Code","Country","Contact Phone Number","Subject","Note","Country Code","Balance Impact"
"12/17/2023","08:08:57","PST","John Doe","Express Checkout Payment","Completed","USD","1.00","-0.52","0.48","sb-n43ad4728011176@personal.example.com","sb-jvbvr28387932@business.example.com","42K64562J8431014W","John, Doe, 1 Main St, San Jose, CA, 95131, United States","Confirmed","2023-12-17T10:10:48","","0.00","","0.00","","","","","","","SO-1702829328297-4949","1","","6,364.62","1 Main St","","San Jose","CA","95131","United States","4085762084","2023-12-17T10:10:48","","US","Credit"
"12/16/2023","18:37:22","PST","John Doe","Express Checkout Payment","Completed","USD","1.00","-0.52","0.48","sb-1j09x28410285@personal.example.com","sb-jvbvr28387932@business.example.com","68670103MC529281G","John, Doe, 1 Main St, San Jose, CA, 95131, United States","Confirmed","2023-12-16T20:38:05","","0.00","","0.00","","","","","","","SO-1702780565477-4704","1","","6,365.10","1 Main St","","San Jose","CA","95131","United States","4089570040","2023-12-16T20:38:05","","US","Credit"
"12/17/2023","17:53:45","PST","John Doe","Express Checkout Payment","Completed","USD","1.00","-0.52","0.48","sb-1j09x28410285@personal.example.com","sb-jvbvr28387932@business.example.com","0WT27086D88542524","John, Doe, 1 Main St, San Jose, CA, 95131, United States","Confirmed","2023-12-17T19:55:30","","0.00","","0.00","","","","","","","SO-1702864409859-819","1","","6,365.58","1 Main St","","San Jose","CA","95131","United States","4089570040","2023-12-17T19:55:30","","US","Credit"
"12/18/2023","07:27:11","PST","John Doe","Express Checkout Payment","Completed","USD","1.00","-0.52","0.48","sb-1j09x28410285@personal.example.com","sb-jvbvr28387932@business.example.com","9HN60489GH222100L","John, Doe, 1 Main St, San Jose, CA, 95131, United States","Confirmed","2023-12-18T09:28:42","","0.00","","0.00","","","","","","","SO-1702913202264-4288","1","","6,366.06","1 Main St","","San Jose","CA","95131","United States","4089570040","2023-12-18T09:28:42","","US","Credit"
"12/18/2023","08:57:08","PST","John Doe","Express Checkout Payment","Completed","USD","1.00","-0.52","0.48","sb-1j09x28410285@personal.example.com","sb-jvbvr28387932@business.example.com","5B60066511697261L","John, Doe, 1 Main St, San Jose, CA, 95131, United States","Confirmed","2023-12-18T10:58:55","","0.00","","0.00","","","","","","","SO-1702918615271-9775","1","","6,366.54","1 Main St","","San Jose","CA","95131","United States","4089570040","2023-12-18T10:58:55","","US","Credit"
"12/18/2023","09:02:26","PST","John Doe","Express Checkout Payment","Completed","USD","1.00","-0.52","0.48","sb-1j09x28410285@personal.example.com","sb-jvbvr28387932@business.example.com","5HN9364663122074F","John, Doe, 1 Main St, San Jose, CA, 95131, United States","Confirmed","2023-12-18T11:04:18","","0.00","","0.00","","","","","","","SO-1702918937542-6840","1","","6,367.02","1 Main St","","San Jose","CA","95131","United States","4089570040","2023-12-18T11:04:18","","US","Credit"
"12/16/2023","11:39:49","PST","John Doe","Express Checkout Payment","Completed","USD","1.00","-0.52","0.48","sb-1j09x28410285@personal.example.com","sb-jvbvr28387932@business.example.com","8N202188K4661063H","John, Doe, 1 Main St, San Jose, CA, 95131, United States","Confirmed","2023-12-16T13:41:30","","0.00","","0.00","","","","","","","SO-1702755570171-5096","1","","6,367.50","1 Main St","","San Jose","CA","95131","United States","4089570040","2023-12-16T13:41:30","","US","Credit"
"12/16/2023","18:21:44","PST","John Doe","Express Checkout Payment","Completed","USD","1.00","-0.52","0.48","sb-1j09x28410285@personal.example.com","sb-jvbvr28387932@business.example.com","1R6479981U402793U","John, Doe, 1 Main St, San Jose, CA, 95131, United States","Confirmed","2023-12-16T20:23:36","","0.00","","0.00","","","","","","","SO-1702779695717-2434","1","","6,367.98","1 Main St","","San Jose","CA","95131","United States","4089570040","2023-12-16T20:23:36","","US","Credit"
"12/16/2023","18:18:16","PST","John Doe","Express Checkout Payment","Completed","USD","1.00","-0.52","0.48","sb-1j09x28410285@personal.example.com","sb-jvbvr28387932@business.example.com","8KL12588W1525511C","John, Doe, 1 Main St, San Jose, CA, 95131, United States","Confirmed","2023-12-16T20:20:06","","0.00","","0.00","","","","","","","SO-1702779486414-4142","1","","6,368.46","1 Main St","","San Jose","CA","95131","United States","4089570040","2023-12-16T20:20:06","","US","Credit"
"12/18/2023","07:46:50","PST","John Doe","Express Checkout Payment","Completed","USD","1.00","-0.52","0.48","sb-1j09x28410285@personal.example.com","sb-jvbvr28387932@business.example.com","592941800T1201018","John, Doe, 1 Main St, San Jose, CA, 95131, United States","Confirmed","2023-12-18T09:47:19","","0.00","","0.00","","","","","","","SO-1702914318720-1681","1","","6,368.94","1 Main St","","San Jose","CA","95131","United States","4089570040","2023-12-18T09:47:19","","US","Credit"
